parameters:
Namespace(alpha=[0.1, 0.2, 0.5, 1.0, 2.0], clt_leaves=False, cluster_method='KMEANS', cluster_penalty=[1.0], dataset=['nltcs'], g_factor=[5.0, 10.0, 15.0, 20.0], min_inst_slice=[10, 50, 100, 500], n_iters=100, n_restarts=4, n_row_clusters=2, output='exp/gtest-kmeans/', seed=1337, sklearn_args=None, verbose=1)

g-factor:	clu-pen:	min-ins:	alpha:	n_edges:	n_levels:	n_weights:	n_leaves:	train_ll	valid_ll:	test_ll
15.00000	1.00000	500	1.00000	435	11	89	305	-6.07362	-6.05508	-6.09967
15.00000	1.00000	500	2.00000	435	11	89	305	-6.07379	-6.05493	-6.09906
20.00000	1.00000	10	0.10000	392	13	87	264	-6.07491	-6.05837	-6.10323
20.00000	1.00000	10	0.20000	392	13	87	264	-6.07484	-6.05831	-6.10309
20.00000	1.00000	10	0.50000	392	13	87	264	-6.07466	-6.05815	-6.10271
20.00000	1.00000	10	1.00000	392	13	87	264	-6.07442	-6.05794	-6.10217
20.00000	1.00000	10	2.00000	392	13	87	264	-6.07418	-6.05777	-6.10138
20.00000	1.00000	50	0.10000	378	13	83	256	-6.08115	-6.06000	-6.10722
20.00000	1.00000	50	0.20000	378	13	83	256	-6.08100	-6.05985	-6.10699
20.00000	1.00000	50	0.50000	378	13	83	256	-6.08062	-6.05946	-6.10640
20.00000	1.00000	50	1.00000	378	13	83	256	-6.08016	-6.05899	-6.10559
20.00000	1.00000	50	2.00000	378	13	83	256	-6.07965	-6.05852	-6.10446
20.00000	1.00000	100	0.10000	393	13	89	262	-6.07221	-6.04164	-6.09939
20.00000	1.00000	100	0.20000	393	13	89	262	-6.07212	-6.04158	-6.09923
20.00000	1.00000	100	0.50000	393	13	89	262	-6.07188	-6.04142	-6.09877
20.00000	1.00000	100	1.00000	393	13	89	262	-6.07155	-6.04123	-6.09810
20.00000	1.00000	100	2.00000	393	13	89	262	-6.07116	-6.04108	-6.09708
20.00000	1.00000	500	0.10000	362	11	78	248	-6.07712	-6.06345	-6.10074
20.00000	1.00000	500	0.20000	362	11	78	248	-6.07704	-6.06333	-6.10057
20.00000	1.00000	500	0.50000	362	11	78	248	-6.07683	-6.06299	-6.10009
20.00000	1.00000	500	1.00000	362	11	78	248	-6.07654	-6.06251	-6.09944
20.00000	1.00000	500	2.00000	362	11	78	248	-6.07615	-6.06181	-6.09847
{'alpha': 2.0, 'min-inst-slice': 10, 'g-factor': 5.0, 'cluster-penalty': 1.0, 'train_ll': -6.007738401870227, 'valid_ll': -5.994964590296969, 'test_ll': -6.054038873584926}
